2026-03-05 12:30:38 - SELECT `groups_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 12:30:38 - {"groups_id":"[\"6\", \"19\"]","0":"[\"6\", \"19\"]"} | {GET} |
2026-03-05 12:30:38 - SELECT `id`, `group_name`, link FROM `groups` WHERE `id`=? OR `id`=? | {SET} |
2026-03-05 12:30:38 - [{"id":"6","group_name":"Xojiakmal","link":"JasminXojiakmal7652594"},{"id":"19","group_name":"Abd","link":"AliAbd3986541"}] | {GET} |
2026-03-05 12:30:38 - SELECT `id` FROM `groups` WHERE `author_id`=? | {SET} |
2026-03-05 12:30:38 - [{"id":"19"}] | {GET} |
2026-03-05 12:30:45 - SELECT `groups_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 12:30:45 - {"groups_id":"[\"6\", \"19\"]","0":"[\"6\", \"19\"]"} | {GET} |
2026-03-05 12:30:45 - SELECT `id`, `group_name`, link FROM `groups` WHERE `id`=? OR `id`=? | {SET} |
2026-03-05 12:30:45 - [{"id":"6","group_name":"Xojiakmal","link":"JasminXojiakmal7652594"},{"id":"19","group_name":"Abd","link":"AliAbd3986541"}] | {GET} |
2026-03-05 12:30:45 - SELECT `id` FROM `groups` WHERE `author_id`=? | {SET} |
2026-03-05 12:30:45 - [{"id":"19"}] | {GET} |
2026-03-05 12:30:59 - SELECT `groups_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 12:30:59 - {"groups_id":"[\"6\", \"19\"]","0":"[\"6\", \"19\"]"} | {GET} |
2026-03-05 12:30:59 - SELECT `id`, `group_name`, link FROM `groups` WHERE `id`=? OR `id`=? | {SET} |
2026-03-05 12:30:59 - [{"id":"6","group_name":"Xojiakmal","link":"JasminXojiakmal7652594"},{"id":"19","group_name":"Abd","link":"AliAbd3986541"}] | {GET} |
2026-03-05 12:30:59 - SELECT `id` FROM `groups` WHERE `author_id`=? | {SET} |
2026-03-05 12:30:59 - [{"id":"19"}] | {GET} |
2026-03-05 12:31:02 - SELECT `group_name` FROM `groups` WHERE `id`=? | {SET} |
2026-03-05 12:31:02 - {"group_name":"Xojiakmal","0":"Xojiakmal"} | {GET} |
2026-03-05 12:31:02 - SELECT `id`, `text`, `file`, `user_id` FROM `notes` WHERE (`user_id`=:f AND `to_whom`=:s) OR (`user_id`=:a AND `to_whom`=:b) | {SET} |
2026-03-05 12:31:02 - [{"id":"4","text":"dnckdnfks","file":null,"user_id":"6"},{"id":"5","text":"kjfnvdkfnvkdf","file":null,"user_id":"6"},{"id":"6","text":"a","file":null,"user_id":"6"}] | {GET} |
2026-03-05 12:31:11 - SELECT `group_name` FROM `groups` WHERE `id`=? | {SET} |
2026-03-05 12:31:11 - {"group_name":"Xojiakmal","0":"Xojiakmal"} | {GET} |
2026-03-05 12:31:11 - SELECT `id`, `text`, `file`, `user_id` FROM `notes` WHERE (`user_id`=:f AND `to_whom`=:s) OR (`user_id`=:a AND `to_whom`=:b) | {SET} |
2026-03-05 12:31:11 - [{"id":"4","text":"dnckdnfks","file":null,"user_id":"6"},{"id":"5","text":"kjfnvdkfnvkdf","file":null,"user_id":"6"},{"id":"6","text":"a","file":null,"user_id":"6"}] | {GET} |
2026-03-05 14:45:34 - SELECT `id`, `name` FROM `users` | {SET} |
2026-03-05 14:45:34 - [{"id":"1","name":"Ali"},{"id":"2","name":"Dilshod"},{"id":"3","name":"Malika"},{"id":"4","name":"Jasmin"},{"id":"5","name":"Bekzod"},{"id":"6","name":"Sardor"},{"id":"7","name":"Zarina"},{"id":"8","name":"Ali"},{"id":"9","name":"Malika"},{"id":"10","name":"Bekzod"}] | {GET} |
2026-03-05 14:46:07 - SELECT `users_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 14:46:07 - {"users_id":null,"0":null} | {GET} |
2026-03-05 14:46:09 - SELECT `channels_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 14:46:09 - {"channels_id":null,"0":null} | {GET} |
2026-03-05 14:46:09 - SELECT `id` FROM `channels` WHERE `author_id`=? | {SET} |
2026-03-05 14:46:09 - [] | {GET} |
2026-03-05 14:46:12 - SELECT `groups_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
2026-03-05 14:46:12 - {"groups_id":null,"0":null} | {GET} |
2026-03-05 14:46:12 - SELECT `id` FROM `groups` WHERE `author_id`=? | {SET} |
2026-03-05 14:46:12 - [] | {GET} |
2026-03-05 14:46:31 - SELECT `users_id` FROM `users_affinities` WHERE `user_id`=? | {SET} |
